Otu,domain,phylum,class,order,family,genus,species
ASV205,Eukaryota,Archamoebae,Incertae Sedis_2,NA,NA,Rhizomastix,NA
ASV158,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV255,Eukaryota,Chytridiomycota,Chytridiomycetes,NA,NA,NA,NA
ASV259,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Pseudochilodonopsis,NA
ASV233,Eukaryota,Archamoebae,Incertae Sedis_2,NA,NA,Rhizomastix,NA
ASV232,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV269,Eukaryota,NA,Chrysophyceae,Chromulinales,NA,NA,NA
ASV281,Eukaryota,NA,NA,NA,NA,NA,NA
ASV239,Eukaryota,NA,Chrysophyceae,Chromulinales,NA,NA,NA
ASV236,Eukaryota,NA,NA,NA,NA,NA,NA
ASV242,Eukaryota,Diatomea,NA,NA,NA,NA,NA
ASV173,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV223,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV218,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV203,Eukaryota,Diatomea,NA,NA,NA,NA,NA
ASV169,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV197,Eukaryota,NA,Tubulinea,NA,NA,BOLA868,NA
ASV276,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV243,Eukaryota,SAR,Labyrinthulomycetes,NA,NA,Sorodiplophrys,NA
ASV262,Eukaryota,NA,Trebouxiophyceae,NA,NA,NA,NA
ASV252,Eukaryota,NA,NA,NA,NA,NA,NA
ASV278,Eukaryota,NA,Chrysophyceae,Chromulinales,NA,Poteriospumella,NA
ASV246,Eukaryota,Diatomea,NA,NA,NA,NA,NA
ASV215,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV150,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV270,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV224,Eukaryota,MAST-12,MAST-12C,NA,NA,NA,NA
ASV263,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Amphora,NA
ASV272,Eukaryota,NA,NA,NA,NA,NA,NA
ASV273,Eukaryota,NA,Chrysophyceae,Ochromonadales,NA,Ochromonas,NA
ASV277,Eukaryota,NA,Chrysophyceae,Ochromonadales,NA,Ochromonas,NA
ASV271,Eukaryota,NA,Chrysophyceae,NA,NA,NA,NA
ASV220,Eukaryota,Cercozoa,Cercomonadidae,NA,NA,Paracercomonas,NA
ASV204,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV164,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV256,Eukaryota,NA,NA,NA,NA,NA,NA
ASV260,Eukaryota,NA,NA,NA,NA,NA,NA
ASV254,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV280,Eukaryota,Diatomea,NA,Fragilariales,NA,NA,NA
ASV253,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV183,Eukaryota,Archamoebae,Incertae Sedis_2,NA,NA,Rhizomastix,NA
ASV249,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV274,Eukaryota,Cercozoa,Cercomonadidae,NA,NA,Paracercomonas,NA
ASV227,Eukaryota,NA,NA,NA,NA,NA,NA
ASV257,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV191,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV265,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV258,Eukaryota,NA,Trebouxiophyceae,NA,NA,NA,NA
ASV266,Eukaryota,Diatomea,NA,NA,NA,NA,NA
ASV226,Eukaryota,SAR,Labyrinthulomycetes,NA,NA,Sorodiplophrys,NA
ASV275,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV264,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV279,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
